"lon","lat","type","loctype","address","north","south","east","west"
-123.2794443,44.5637806,"establishment","geometric_center","corvallis, or 97331, usa",44.5651295802915,44.5624316197085,-123.278095319708,-123.280793280292
-93.6464654,42.0266187,"establishment","geometric_center","ames, ia 50011, usa",42.0279676802915,42.0252697197085,-93.6451164197085,-93.6478143802915
-78.5079772,38.0335529,"establishment","geometric_center","charlottesville, va, usa",38.0349018802915,38.0322039197085,-78.5066282197085,-78.5093261802915
